name,date_of_birth,height,weight,spike,block,position_number,country,age
Malak Badawy,17/06/1996,175,64,273,289,4,29,24
Yasmin Hussein,11/01/1997,175,74,188,178,2,29,23
Hend Farag,29/09/1997,186,68,277,272,3,29,23
Icel Nadim,19/02/1996,162,52,253,267,6,29,24
Jailan Tawfik,12/06/1997,175,65,292,279,4,29,23
Rania Ashmawy,20/02/1996,174,67,273,264,1,29,24
Diana De La Peña,07/06/1999,187,60,294,295,3,30,21
Nair Canessa,04/06/1997,185,70,295,298,3,30,23
Cristina Cuba,04/06/1996,176,65,280,275,1,30,24
Shiamara Almeida,19/02/1996,172,62,286,275,1,30,24
Maguilaura Frias,28/05/1997,186,71,291,280,4,30,23
Rosa Valiente,26/06/1996,183,60,290,295,3,30,24
Angela Leyva,22/11/1996,184,70,312,291,2,30,24
Yomira Villacorta,11/01/1996,164,61,265,250,6,30,24
Dayana Rojas,09/10/1997,160,55,178,180,2,30,23
Coraima Gomez,09/08/1996,179,70,300,285,2,30,24
Ilaria Bonvicini,28/02/1997,160,52,261,243,2,15,23
Carlotta Cambi,28/05/1996,177,66,302,292,1,15,24
Sofia D'odorico,06/01/1997,187,78,312,302,2,15,23
Alessia Orro,18/07/1998,180,74,308,231,1,15,22
Sara Bonifacio,03/07/1996,188,76,320,300,3,15,24
Anna Danesi,20/04/1996,195,75,312,246,3,15,24
Anastasia Guerra,15/10/1996,187,80,314,239,2,15,24
Chiara De Bortoli,28/07/1997,180,68,302,286,6,15,23
Paola Ogechi Egonu,18/12/1998,190,70,336,256,4,15,22
Beatrice Berti,12/01/1996,193,87,304,288,3,15,24
Anna Nicoletti,03/01/1996,193,86,306,290,4,15,24
Elisa Zanette,17/02/1996,193,86,304,288,4,15,24
Melis Yilmaz,28/06/1997,165,52,260,259,6,26,23
Cansu Ozbay,17/10/1996,182,75,285,284,1,26,24
Rida Erlalelitepe,22/07/1996,183,70,293,290,2,26,24
Ada Germen,24/06/1997,182,62,285,283,2,26,23
Humay Topaloglu,03/08/1996,180,63,295,293,2,26,24
Yagmur Mislina Kilic,30/03/1996,189,66,283,280,2,26,24
Cemre Janset Erkul,12/01/1997,184,65,298,295,3,26,23
Su Zent,25/03/1996,184,70,305,303,3,26,24
Azul Benitez,05/02/1998,165,60,260,245,1,2,22
Laura Beatriz Suarez Hernandez,13/12/1998,185,75,304,292,3,31,22
Dalila Palma Rodriguez,18/11/1999,182,62,301,285,4,31,21
Diaris De La Caridad Perez Ramos,16/11/1998,182,75,304,295,2,31,22
Gretell Elena Moreno Borrero,30/01/1998,183,68,287,280,1,31,22
Ailama Cese Montalvo,29/10/2000,188,58,322,308,2,31,20
Yamisleydis Viltres Pacheco,26/07/2001,189,73,247,244,3,31,19
Jessica Aguilera Carbajal,25/05/1999,184,68,311,302,3,31,21
Heidy Casanova Alvarez,06/11/1998,184,78,244,240,4,31,22
Monika Krasteva,09/05/1999,183,64,292,285,2,9,21
Polina Neykova,07/10/1998,182,73,287,280,1,9,22
Peiyan Chen,16/09/1999,193,79,318,309,4,5,21
Xiaoqing Cai,05/04/1998,179,71,305,295,2,5,22
Nourallah Amin,25/11/2000,184,70,285,276,3,29,20
Tugba Senoglu,02/02/1998,184,64,275,270,2,26,22
Saliha Sahin,05/11/1998,185,62,282,275,2,26,22
Yasemin Guveli,05/01/1999,187,68,300,285,3,26,21
Zehra Gunes,07/07/1999,194,82,309,255,3,26,21
Angelina Lazarenko,13/04/1998,193,80,320,305,3,23,22
Drussyla Costa,01/07/1996,182,73,304,286,2,10,24
Gabriela Candido Da Silva,22/05/1996,181,75,296,285,2,10,24
Lyara Medeiros,19/09/1996,184,67,297,285,1,10,24
Nanami Hirose,12/05/1997,177,61,301,295,2,16,23
Misaki Shirai,30/07/1996,175,70,293,278,1,16,24
Haruka Kanamori,09/04/1996,176,66,297,290,3,16,24
Moeri Hanai,17/04/1997,167,60,280,272,6,16,23
Kaori Mabashi,18/11/1996,173,63,296,286,2,16,24
Elitsa Barakova,11/03/1997,184,60,290,280,3,9,23
Polina Neykova,07/10/1998,182,73,287,280,1,9,22
Iveta Stanchulova,11/08/1997,186,72,290,285,3,9,23
Vangeliya Rachkovska,19/07/1997,185,67,296,281,2,9,23
Gergana Dimitrova,28/02/1996,184,71,305,288,2,9,24
Miroslava Paskova,16/02/1996,180,67,299,280,2,9,24
Zhana Todorova,06/01/1997,170,56,271,255,6,9,23
Mirela Shahpazova,28/10/1997,175,65,280,270,1,9,23
Jovana Kocic,24/02/1998,190,85,290,285,3,24,22
Katarina Lazovic,12/09/1999,182,65,285,275,2,24,21
Kathya Paulina Garcia Chavez,06/03/1998,178,69,285,250,2,19,22
Karina Angelica Flores Gamez,16/08/1998,192,80,299,285,3,19,22
Alondra Amaro Rodriguez,09/06/1998,188,69,275,250,3,19,22
Dalila Palma Rodriguez,18/11/1999,182,62,301,285,4,31,21
Laura Beatriz Suarez Hernandez,13/12/1998,185,75,304,292,3,31,22
Claudia Hernandez Aguila,09/01/1997,181,78,225,223,2,31,23
Diaris De La Caridad Perez Ramos,16/11/1998,182,75,304,295,2,31,22
Ailama Cese Montalvo,29/10/2000,188,58,322,308,2,31,20
Liset Herrera Blanco,06/12/1998,192,70,311,300,3,31,22
Carmela Massip Mursuli,17/01/1998,181,65,304,295,2,31,22
Ye Jin,01/03/1996,187,77,310,302,2,5,24
Salma Mahmoud,04/02/1999,175,56,278,266,2,29,21
Nourallah Amin,25/11/2000,184,70,285,276,3,29,20
Mariam Ebrahim,13/03/1997,167,63,273,261,1,29,23
Rahma Almohandes,09/11/1996,175,63,277,265,2,29,24
Nicole Abreu Erquinigo,27/03/1999,180,63,285,270,2,30,21
Katherine Regalado,11/03/1998,190,66,296,287,4,30,22
Ayca Aykac,27/02/1996,176,54,280,279,6,26,24
Zehra Gunes,07/07/1999,194,82,309,255,3,26,21
Arelya Karasoy,14/12/1996,181,73,287,280,1,26,24
Barbara Frangella,17/02/1996,179,68,289,280,1,2,24
