name,link,date_of_birth,age,height,weight,spike,block,age_in_2018
Lucia Bosetti,/en/competition/teams/ita-italy/players/lucia-bosetti?id=68917,09/07/1989,31,178,63,310.0,292,29
Miryam Fatime Sylla,/en/competition/teams/ita-italy/players/miryam-fatime-sylla?id=68924,08/01/1995,25,184,80,320.0,240,23
Paola Ogechi Egonu,/en/competition/teams/ita-italy/players/paola-ogechi-egonu?id=68933,18/12/1998,22,193,80,344.0,321,20
Camilla Mingardi,/en/competition/teams/ita-italy/players/camilla-mingardi?id=68929,19/10/1997,23,182,86,300.0,280,21
Beatrice Parrocchiale,/en/competition/teams/ita-italy/players/beatrice-parrocchiale?id=68936,26/12/1995,25,168,59,286.0,258,23
Chiara De Bortoli,/en/competition/teams/ita-italy/players/chiara-de-bortoli?id=68921,28/07/1997,23,177,61,308.0,286,21
Anna Nicoletti,/en/competition/teams/ita-italy/players/anna-nicoletti?id=68931,03/01/1996,24,193,86,306.0,290,22
Gizem Orge,/en/competition/teams/tur-turkey/players/gizem-orge?id=69136,26/04/1993,27,170,59,270.0,260,25
Simge Sebnem Akoz,/en/competition/teams/tur-turkey/players/simge-sebnem-akoz?id=69120,23/04/1991,29,168,56,250.0,245,27
Cansu Özbay,/en/competition/teams/tur-turkey/players/cansu-%c3%b6zbay?id=69137,17/10/1996,24,182,78,298.0,290,22
Beyza Arici,/en/competition/teams/tur-turkey/players/beyza-arici?id=69121,27/07/1995,25,193,83,303.0,294,23
Seyma Ercan,/en/competition/teams/tur-turkey/players/seyma-ercan?id=69128,05/07/1994,26,187,73,305.0,294,24
Saliha Sahin,/en/competition/teams/tur-turkey/players/saliha-sahin?id=69141,05/11/1998,22,185,62,282.0,275,20
Hande Baladin,/en/competition/teams/tur-turkey/players/hande-baladin?id=69124,01/09/1997,23,190,81,309.0,300,21
Tugba Senoglu,/en/competition/teams/tur-turkey/players/tugba-senoglu?id=69140,02/02/1998,22,184,64,275.0,270,20
Meliha Ismailoglu,/en/competition/teams/tur-turkey/players/meliha-ismailoglu?id=69131,17/09/1993,27,188,73,303.0,291,25
Çagla Akin,/en/competition/teams/tur-turkey/players/%c3%a7agla-akin?id=69119,19/01/1995,25,177,70,300.0,280,23
Meryem Boz,/en/competition/teams/tur-turkey/players/meryem-boz?id=69125,03/02/1988,32,190,68,323.0,313,30
Eda Erdem Dündar,/en/competition/teams/tur-turkey/players/eda-erdem-d%c3%bcndar?id=69129,22/06/1987,33,188,74,307.0,297,31
Ebrar Karakurt,/en/competition/teams/tur-turkey/players/ebrar-karakurt?id=69133,17/01/2000,20,196,73,315.0,304,18
Cansu Aydinogullari,/en/competition/teams/tur-turkey/players/cansu-aydinogullari?id=69123,18/02/1992,28,183,70,275.0,270,26
Zehra Gunes,/en/competition/teams/tur-turkey/players/zehra-gunes?id=69130,07/07/1999,21,197,88,319.0,310,19
Asli Kalac,/en/competition/teams/tur-turkey/players/asli-kalac?id=69132,13/12/1995,25,185,73,306.0,297,23
Aylin Sarioğlu,/en/competition/teams/tur-turkey/players/aylin-sario%c4%9flu?id=69139,21/07/1995,25,169,68,300.0,290,23
Asl?Han Kilic,/en/competition/teams/tur-turkey/players/asl%3fhan-kilic?id=69134,21/04/1998,22,178,71,278.0,277,20
Kubra Caliskan,/en/competition/teams/tur-turkey/players/kubra-caliskan?id=69126,13/10/1994,26,198,86,310.0,310,24
Derya Cebecioglu,/en/competition/teams/tur-turkey/players/derya-cebecioglu?id=69127,24/10/2000,20,185,65,290.0,280,18
Güldeniz Önal,/en/competition/teams/tur-turkey/players/g%c3%bcldeniz-%c3%b6nal?id=69135,25/03/1986,34,183,75,302.0,293,32
İlkin Aydin,/en/competition/teams/tur-turkey/players/%c4%b0lkin-aydin?id=69122,05/01/2000,20,183,67,300.0,284,18
Jeyran Imanova,/en/competition/teams/aze-azerbaijan/players/jeyran-imanova?id=67868,03/01/1995,25,165,51,250.0,242,23
Yana Azimova,/en/competition/teams/aze-azerbaijan/players/yana-azimova?id=67861,05/07/1994,26,176,65,290.0,285,24
Anastasiya Gurbanova,/en/competition/teams/aze-azerbaijan/players/anastasiya-gurbanova?id=67865,04/12/1989,31,190,73,305.0,290,29
